target,stop,horizon,trades,wins,losses,unresolved,win_rate,pf,expectancy,total,max_dd,profit_to_dd
450,80,10,27,8,19,0,0.2962962962962963,2.0584795321637426,67.03703703703704,1810.0,810.0,2.234567901234568
450,80,15,27,8,19,0,0.2962962962962963,2.0584795321637426,67.03703703703704,1810.0,810.0,2.234567901234568
450,80,20,27,8,19,0,0.2962962962962963,2.0584795321637426,67.03703703703704,1810.0,810.0,2.234567901234568
450,80,30,27,8,19,0,0.2962962962962963,2.0584795321637426,67.03703703703704,1810.0,810.0,2.234567901234568
450,80,45,27,8,19,0,0.2962962962962963,2.0584795321637426,67.03703703703704,1810.0,810.0,2.234567901234568
450,80,60,27,8,19,0,0.2962962962962963,2.0584795321637426,67.03703703703704,1810.0,810.0,2.234567901234568
600,60,30,27,5,22,0,0.18518518518518517,1.9155844155844155,52.22222222222222,1410.0,840.0,1.6785714285714286
600,60,45,27,5,22,0,0.18518518518518517,1.9155844155844155,52.22222222222222,1410.0,840.0,1.6785714285714286
600,60,60,27,5,22,0,0.18518518518518517,1.9155844155844155,52.22222222222222,1410.0,840.0,1.6785714285714286
600,80,30,27,6,21,0,0.2222222222222222,1.873015873015873,61.111111111111114,1650.0,850.0,1.9411764705882353
600,80,45,27,6,21,0,0.2222222222222222,1.873015873015873,61.111111111111114,1650.0,850.0,1.9411764705882353
600,80,60,27,6,21,0,0.2222222222222222,1.873015873015873,61.111111111111114,1650.0,850.0,1.9411764705882353
400,80,10,27,8,19,0,0.2962962962962963,1.8245614035087718,52.22222222222222,1410.0,810.0,1.7407407407407407
400,80,15,27,8,19,0,0.2962962962962963,1.8245614035087718,52.22222222222222,1410.0,810.0,1.7407407407407407
400,80,20,27,8,19,0,0.2962962962962963,1.8245614035087718,52.22222222222222,1410.0,810.0,1.7407407407407407
400,80,30,27,8,19,0,0.2962962962962963,1.8245614035087718,52.22222222222222,1410.0,810.0,1.7407407407407407
400,80,45,27,8,19,0,0.2962962962962963,1.8245614035087718,52.22222222222222,1410.0,810.0,1.7407407407407407
400,80,60,27,8,19,0,0.2962962962962963,1.8245614035087718,52.22222222222222,1410.0,810.0,1.7407407407407407
450,60,10,27,6,21,0,0.2222222222222222,1.7959183673469388,43.333333333333336,1170.0,840.0,1.3928571428571428
450,60,15,27,6,21,0,0.2222222222222222,1.7959183673469388,43.333333333333336,1170.0,840.0,1.3928571428571428
450,60,20,27,6,21,0,0.2222222222222222,1.7959183673469388,43.333333333333336,1170.0,840.0,1.3928571428571428
450,60,30,27,6,21,0,0.2222222222222222,1.7959183673469388,43.333333333333336,1170.0,840.0,1.3928571428571428
450,60,45,27,6,21,0,0.2222222222222222,1.7959183673469388,43.333333333333336,1170.0,840.0,1.3928571428571428
450,60,60,27,6,21,0,0.2222222222222222,1.7959183673469388,43.333333333333336,1170.0,840.0,1.3928571428571428
550,60,30,27,5,22,0,0.18518518518518517,1.7532467532467533,42.96296296296296,1160.0,840.0,1.380952380952381
550,60,45,27,5,22,0,0.18518518518518517,1.7532467532467533,42.96296296296296,1160.0,840.0,1.380952380952381
550,60,60,27,5,22,0,0.18518518518518517,1.7532467532467533,42.96296296296296,1160.0,840.0,1.380952380952381
550,80,30,27,6,21,0,0.2222222222222222,1.7142857142857142,50.0,1350.0,900.0,1.5
550,80,45,27,6,21,0,0.2222222222222222,1.7142857142857142,50.0,1350.0,900.0,1.5
550,80,60,27,6,21,0,0.2222222222222222,1.7142857142857142,50.0,1350.0,900.0,1.5
350,60,10,27,7,20,0,0.25925925925925924,1.7,36.2962962962963,980.0,630.0,1.5555555555555556
350,60,15,27,7,20,0,0.25925925925925924,1.7,36.2962962962963,980.0,630.0,1.5555555555555556
350,60,20,27,7,20,0,0.25925925925925924,1.7,36.2962962962963,980.0,630.0,1.5555555555555556
350,60,30,27,7,20,0,0.25925925925925924,1.7,36.2962962962963,980.0,630.0,1.5555555555555556
350,60,45,27,7,20,0,0.25925925925925924,1.7,36.2962962962963,980.0,630.0,1.5555555555555556
350,60,60,27,7,20,0,0.25925925925925924,1.7,36.2962962962963,980.0,630.0,1.5555555555555556
450,120,10,27,9,18,0,0.3333333333333333,1.6923076923076923,60.0,1620.0,1170.0,1.3846153846153846
450,120,15,27,9,18,0,0.3333333333333333,1.6923076923076923,60.0,1620.0,1170.0,1.3846153846153846
450,120,20,27,9,18,0,0.3333333333333333,1.6923076923076923,60.0,1620.0,1170.0,1.3846153846153846
450,120,30,27,9,18,0,0.3333333333333333,1.6923076923076923,60.0,1620.0,1170.0,1.3846153846153846
450,120,45,27,9,18,0,0.3333333333333333,1.6923076923076923,60.0,1620.0,1170.0,1.3846153846153846
450,120,60,27,9,18,0,0.3333333333333333,1.6923076923076923,60.0,1620.0,1170.0,1.3846153846153846
450,100,10,27,8,19,0,0.2962962962962963,1.6842105263157894,52.96296296296296,1430.0,990.0,1.4444444444444444
450,100,15,27,8,19,0,0.2962962962962963,1.6842105263157894,52.96296296296296,1430.0,990.0,1.4444444444444444
450,100,20,27,8,19,0,0.2962962962962963,1.6842105263157894,52.96296296296296,1430.0,990.0,1.4444444444444444
450,100,30,27,8,19,0,0.2962962962962963,1.6842105263157894,52.96296296296296,1430.0,990.0,1.4444444444444444
450,100,45,27,8,19,0,0.2962962962962963,1.6842105263157894,52.96296296296296,1430.0,990.0,1.4444444444444444
450,100,60,27,8,19,0,0.2962962962962963,1.6842105263157894,52.96296296296296,1430.0,990.0,1.4444444444444444
400,180,20,27,12,15,0,0.4444444444444444,1.6421052631578947,67.77777777777777,1830.0,1520.0,1.2039473684210527
400,180,30,27,12,15,0,0.4444444444444444,1.6421052631578947,67.77777777777777,1830.0,1520.0,1.2039473684210527
400,180,45,27,12,15,0,0.4444444444444444,1.6421052631578947,67.77777777777777,1830.0,1520.0,1.2039473684210527
400,180,60,27,12,15,0,0.4444444444444444,1.6421052631578947,67.77777777777777,1830.0,1520.0,1.2039473684210527
450,180,20,27,11,16,0,0.4074074074074074,1.5921052631578947,66.66666666666667,1800.0,1520.0,1.1842105263157894
450,180,30,27,11,16,0,0.4074074074074074,1.5921052631578947,66.66666666666667,1800.0,1520.0,1.1842105263157894
450,180,45,27,11,16,0,0.4074074074074074,1.5921052631578947,66.66666666666667,1800.0,1520.0,1.1842105263157894
450,180,60,27,11,16,0,0.4074074074074074,1.5921052631578947,66.66666666666667,1800.0,1520.0,1.1842105263157894
400,60,10,27,6,21,0,0.2222222222222222,1.5918367346938775,32.22222222222222,870.0,840.0,1.0357142857142858
400,60,15,27,6,21,0,0.2222222222222222,1.5918367346938775,32.22222222222222,870.0,840.0,1.0357142857142858
400,60,20,27,6,21,0,0.2222222222222222,1.5918367346938775,32.22222222222222,870.0,840.0,1.0357142857142858
400,60,30,27,6,21,0,0.2222222222222222,1.5918367346938775,32.22222222222222,870.0,840.0,1.0357142857142858
400,60,45,27,6,21,0,0.2222222222222222,1.5918367346938775,32.22222222222222,870.0,840.0,1.0357142857142858
400,60,60,27,6,21,0,0.2222222222222222,1.5918367346938775,32.22222222222222,870.0,840.0,1.0357142857142858
500,60,10,27,5,22,0,0.18518518518518517,1.5909090909090908,33.7037037037037,910.0,840.0,1.0833333333333333
500,60,15,27,5,22,0,0.18518518518518517,1.5909090909090908,33.7037037037037,910.0,840.0,1.0833333333333333
500,60,20,27,5,22,0,0.18518518518518517,1.5909090909090908,33.7037037037037,910.0,840.0,1.0833333333333333
500,60,30,27,5,22,0,0.18518518518518517,1.5909090909090908,33.7037037037037,910.0,840.0,1.0833333333333333
500,60,45,27,5,22,0,0.18518518518518517,1.5909090909090908,33.7037037037037,910.0,840.0,1.0833333333333333
500,60,60,27,5,22,0,0.18518518518518517,1.5909090909090908,33.7037037037037,910.0,840.0,1.0833333333333333
350,80,10,27,8,19,0,0.2962962962962963,1.590643274853801,37.407407407407405,1010.0,810.0,1.2469135802469136
350,80,15,27,8,19,0,0.2962962962962963,1.590643274853801,37.407407407407405,1010.0,810.0,1.2469135802469136
350,80,20,27,8,19,0,0.2962962962962963,1.590643274853801,37.407407407407405,1010.0,810.0,1.2469135802469136
350,80,30,27,8,19,0,0.2962962962962963,1.590643274853801,37.407407407407405,1010.0,810.0,1.2469135802469136
350,80,45,27,8,19,0,0.2962962962962963,1.590643274853801,37.407407407407405,1010.0,810.0,1.2469135802469136
350,80,60,27,8,19,0,0.2962962962962963,1.590643274853801,37.407407407407405,1010.0,810.0,1.2469135802469136
600,120,30,27,7,20,0,0.25925925925925924,1.5884615384615384,56.666666666666664,1530.0,1490.0,1.0268456375838926
600,120,45,27,7,20,0,0.25925925925925924,1.5884615384615384,56.666666666666664,1530.0,1490.0,1.0268456375838926
600,120,60,27,7,20,0,0.25925925925925924,1.5884615384615384,56.666666666666664,1530.0,1490.0,1.0268456375838926
600,80,20,27,5,21,1,0.18518518518518517,1.560846560846561,39.25925925925926,1060.0,850.0,1.2470588235294118
500,80,10,27,6,21,0,0.2222222222222222,1.5555555555555556,38.888888888888886,1050.0,950.0,1.105263157894737
500,80,15,27,6,21,0,0.2222222222222222,1.5555555555555556,38.888888888888886,1050.0,950.0,1.105263157894737
500,80,20,27,6,21,0,0.2222222222222222,1.5555555555555556,38.888888888888886,1050.0,950.0,1.105263157894737
500,80,30,27,6,21,0,0.2222222222222222,1.5555555555555556,38.888888888888886,1050.0,950.0,1.105263157894737
500,80,45,27,6,21,0,0.2222222222222222,1.5555555555555556,38.888888888888886,1050.0,950.0,1.105263157894737
500,80,60,27,6,21,0,0.2222222222222222,1.5555555555555556,38.888888888888886,1050.0,950.0,1.105263157894737
600,180,30,27,9,18,0,0.3333333333333333,1.5526315789473684,70.0,1890.0,1670.0,1.1317365269461077
600,180,45,27,9,18,0,0.3333333333333333,1.5526315789473684,70.0,1890.0,1670.0,1.1317365269461077
600,180,60,27,9,18,0,0.3333333333333333,1.5526315789473684,70.0,1890.0,1670.0,1.1317365269461077
600,100,30,27,6,21,0,0.2222222222222222,1.5324675324675325,45.55555555555556,1230.0,1170.0,1.0512820512820513
600,100,45,27,6,21,0,0.2222222222222222,1.5324675324675325,45.55555555555556,1230.0,1170.0,1.0512820512820513
600,100,60,27,6,21,0,0.2222222222222222,1.5324675324675325,45.55555555555556,1230.0,1170.0,1.0512820512820513
600,60,20,27,4,22,1,0.14814814814814814,1.5324675324675325,30.37037037037037,820.0,840.0,0.9761904761904762
400,180,10,27,11,15,1,0.4074074074074074,1.5052631578947369,53.333333333333336,1440.0,1520.0,0.9473684210526315
400,180,15,27,11,15,1,0.4074074074074074,1.5052631578947369,53.333333333333336,1440.0,1520.0,0.9473684210526315
400,120,10,27,9,18,0,0.3333333333333333,1.5,43.333333333333336,1170.0,1170.0,1.0
400,120,15,27,9,18,0,0.3333333333333333,1.5,43.333333333333336,1170.0,1170.0,1.0
400,120,20,27,9,18,0,0.3333333333333333,1.5,43.333333333333336,1170.0,1170.0,1.0
400,120,30,27,9,18,0,0.3333333333333333,1.5,43.333333333333336,1170.0,1170.0,1.0
400,120,45,27,9,18,0,0.3333333333333333,1.5,43.333333333333336,1170.0,1170.0,1.0
400,120,60,27,9,18,0,0.3333333333333333,1.5,43.333333333333336,1170.0,1170.0,1.0
400,100,10,27,8,19,0,0.2962962962962963,1.492822966507177,38.148148148148145,1030.0,990.0,1.0404040404040404
400,100,15,27,8,19,0,0.2962962962962963,1.492822966507177,38.148148148148145,1030.0,990.0,1.0404040404040404
400,100,20,27,8,19,0,0.2962962962962963,1.492822966507177,38.148148148148145,1030.0,990.0,1.0404040404040404
400,100,30,27,8,19,0,0.2962962962962963,1.492822966507177,38.148148148148145,1030.0,990.0,1.0404040404040404
400,100,45,27,8,19,0,0.2962962962962963,1.492822966507177,38.148148148148145,1030.0,990.0,1.0404040404040404
