feature,win_mean,loss_mean,win_median,loss_median,diff_mean
dir_prev10_ret_points,-36.999999999989086,-726.0000000000027,-37.5,-396.00000000000364,689.0000000000136
dir_momentum_points,-36.999999999989086,-726.0000000000027,-37.5,-396.00000000000364,689.0000000000136
dir_prev20_ret_points,-437.9999999999882,-916.5789473684335,-279.4999999999618,-413.9999999999418,478.57894736844537
range_points,432.2499999999991,888.7368421052566,376.9999999999982,794.9999999999818,-456.48684210525755
dir_prev5_ret_points,-25.374999999985448,-447.73684210527597,14.500000000043656,-192.00000000000728,422.3618421052905
dir_prev3_ret_points,42.124999999998636,-375.1578947368503,43.99999999995998,-169.9999999999818,417.28289473684896
dir_ema_slow_dist_points,-100.07436563033707,-476.86659189021634,143.38907315950564,-391.29636817415303,376.79222625987927
body_points,361.5000000000009,638.0526315789355,326.50000000003274,497.99999999995634,-276.55263157893455
atr_points,229.36561577972617,417.13748254449837,195.44454980624477,345.707175847392,-187.7718667647722
dir_ema_fast_slope10_points,-254.48687352608204,-359.7791300782056,-254.6271099583464,-187.7873586379792,105.29225655212355
dir_sweep_points,43.49999999999454,104.05263157894488,42.50000000001819,73.0000000000473,-60.55263157895034
adx,23.9402045211875,26.769608291974183,24.720056966194704,26.146142233476013,-2.8294037707866835
range_atr,1.9321605653566478,2.119073427008882,1.8745198799583218,2.0688537476642095,-0.18691286165223397
vol_rel20,1.0996313947769791,1.2812895890854399,1.085837554182127,1.2117660846126803,-0.18165819430846075
spread,20.0,19.842105263157894,20.0,20.0,0.1578947368421062
body_ratio,0.8280342836571992,0.741312289648561,0.8617766716970641,0.7816291161179528,0.08672199400863823
rsi,52.13815324801541,52.22297952330071,53.193581555662554,51.29542013678636,-0.08482627528529463
opposite_wick_ratio,0.020202593776701857,0.0878677179984794,0.009101104209814241,0.04492052522457952,-0.06766512422177753
body_atr,1.5975735363307701,1.5347957159272392,1.4713768692578733,1.4579759050771663,0.06277782040353097
dir_wick_ratio,0.15176312256609886,0.17081999235295964,0.11963999788852658,0.14129110840436654,-0.019056869786860775
dir_vwap_dist_points,,,,,
