time_utc,time,open,high,low,close,tick_count,tick_volume,spread,real_volume,volume,ema_fast,ema_mid,ema_slow,rsi,atr,adx,momentum,vwap,sweep_high,sweep_low,displacement_up,displacement_down,fvg_bull,fvg_bear,trend_up,trend_down,local_hour,local_minute,session,date,dow,hour_utc,minute_utc,body_points,range_points,upper_wick_ratio,lower_wick_ratio,body_ratio,atr_points,range_atr,body_atr,vol_rel20,prev3_ret_points,prev5_ret_points,prev10_ret_points,prev20_ret_points,ema_fast_slope10_points,vwap_dist_points,ema_slow_dist_points,prev_high20,prev_low20,sweep_high_points,sweep_low_points,bull_engulf,bear_engulf,pinbar_bull,pinbar_bear,inside_bar,outside_bar,long_outcome,long_bars_to_exit,short_outcome,short_bars_to_exit,target_points,stop_points,horizon_bars,candidate_signal,outcome,bars_to_exit,direction,net_points,is_win,side,dir_prev3_ret_points,dir_prev5_ret_points,dir_prev10_ret_points,dir_prev20_ret_points,dir_ema_fast_slope10_points,dir_vwap_dist_points,dir_ema_slow_dist_points,dir_momentum,dir_momentum_points,dir_fvg_confirm,dir_engulf,dir_pinbar,dir_wick_ratio,opposite_wick_ratio,dir_sweep_points,trend_with_trade,trend_against_trade,displacement_body_atr,month
2026-02-12 15:57:00+00:00,1770911820,5083.19,5083.73,5078.9,5078.94,327,327,20,0,0,5077.556768889259,5072.494175571711,5066.2185291411815,57.564927487813826,2.4769761337520415,36.66069585969303,0.21000000000003638,,True,False,False,True,False,False,True,False,16,57,NY Open,2026-02-12,Thursday,15,57,425.0,482.9999999999927,0.11180124223601899,0.008281573498957397,0.8799171842650236,247.69761337520416,1.9499582309998291,1.7158017560557761,0.8334395310309672,-140.00000000005457,-31.000000000040018,21.000000000003638,429.99999999992724,388.6736309758817,,1272.1470858818066,5083.21,5071.49,51.999999999952706,-740.9999999999854,False,False,False,False,False,True,-1,1.0,1,2.0,400,100,15,-1,1,2.0,SHORT,390.0,True,SHORT,140.00000000005457,31.000000000040018,-21.000000000003638,-429.99999999992724,-388.6736309758817,,-1272.1470858818066,-0.21000000000003638,-21.000000000003638,False,False,False,0.11180124223601899,0.008281573498957397,51.999999999952706,False,True,1.7158017560557761,2026-02
2026-02-16 15:48:00+00:00,1771256880,4990.12,4993.0,4989.79,4992.87,305,305,20,0,0,4994.960532204698,4997.249139858797,5001.282874514566,41.99743778943512,1.939344728452256,31.347444601881445,-0.9700000000002547,,False,True,True,False,False,False,False,True,16,48,NY Open,2026-02-16,Monday,15,48,275.0,321.00000000000364,0.040498442367634786,0.10280373831773318,0.8566978193146321,193.9344728452256,1.655198249648921,1.4180047310076267,1.0302313798344873,-167.00000000000728,-214.00000000003274,-97.00000000002547,-365.99999999998545,-248.6622870352221,,-841.2874514566283,4999.75,4990.1,-675.0,31.000000000040018,False,False,False,False,False,False,1,3.0,-1,1.0,400,100,15,1,1,3.0,LONG,390.0,True,LONG,-167.00000000000728,-214.00000000003274,-97.00000000002547,-365.99999999998545,-248.6622870352221,,-841.2874514566283,-0.9700000000002547,-97.00000000002547,False,False,False,0.10280373831773318,0.040498442367634786,31.000000000040018,False,True,1.4180047310076267,2026-02
2026-02-16 16:17:00+00:00,1771258620,4998.4,4999.55,4995.89,4996.14,388,388,20,0,0,4996.299287722241,4996.646944786854,5000.041909628844,49.452905625327865,1.6997330067578211,14.101358320541147,-1.769999999999527,,True,False,False,True,False,False,False,True,17,17,NY Open,2026-02-16,Monday,16,17,225.99999999993088,365.99999999998545,0.31420765027338565,0.06830601092896446,0.6174863387976499,169.9733006757821,2.1532793594337334,1.3296205880652847,1.4155417730755198,86.99999999998909,128.99999999999636,-176.9999999999527,-33.9999999999236,-1.4909282834196347,,-390.1909628843896,4999.04,4994.43,51.00000000002183,-146.00000000000364,False,False,False,False,False,False,-1,1.0,1,3.0,400,100,15,-1,1,3.0,SHORT,390.0,True,SHORT,-86.99999999998909,-128.99999999999636,176.9999999999527,33.9999999999236,1.4909282834196347,,390.1909628843896,1.769999999999527,176.9999999999527,False,False,False,0.31420765027338565,0.06830601092896446,51.00000000002183,True,False,1.3296205880652847,2026-02
2026-02-17 15:20:00+00:00,1771341600,4911.12,4919.47,4911.06,4915.64,561,561,20,0,0,4921.368513756868,4927.319694523655,4928.2307830929885,33.51956441011143,3.4570717584739206,63.61349772986076,-8.389999999999418,,False,True,True,False,False,False,False,True,16,20,NY Open,2026-02-17,Tuesday,15,20,452.00000000004366,840.9999999999854,0.45541022592152125,0.007134363852496043,0.5374554102259828,345.707175847392,2.4326946582423097,1.3074649055001775,1.3096766662775767,-82.99999999999272,57.000000000061846,-838.9999999999418,-1638.000000000011,-764.1996731416839,,-1259.0783092988204,4933.34,4911.81,-1386.999999999989,75.0,False,False,False,False,False,True,-1,1.0,-1,1.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,-82.99999999999272,57.000000000061846,-838.9999999999418,-1638.000000000011,-764.1996731416839,,-1259.0783092988204,-8.389999999999418,-838.9999999999418,False,False,False,0.007134363852496043,0.45541022592152125,75.0,False,True,1.3074649055001775,2026-02
2026-02-17 18:31:00+00:00,1771353060,4877.63,4884.68,4876.47,4884.68,633,633,20,0,0,4884.619287949309,4880.9557057870425,4886.740617552316,50.967066930812486,4.616248442901773,22.382237512637705,-1.8499999999994543,,False,True,True,False,False,False,False,False,19,31,NY Open,2026-02-17,Tuesday,18,31,705.0000000000182,821.0000000000036,0.0,0.14129110840436654,0.8587088915956335,461.62484429017724,1.7785004645112281,1.527214162582756,1.0078815380941009,-169.9999999999818,-142.00000000000728,-184.99999999994543,-413.9999999999418,-33.908303623411484,,-206.0617552315307,4891.56,4877.32,-688.0000000000109,84.99999999994543,False,False,False,False,False,True,-1,1.0,-1,1.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,-169.9999999999818,-142.00000000000728,-184.99999999994543,-413.9999999999418,-33.908303623411484,,-206.0617552315307,-1.8499999999994543,-184.99999999994543,False,False,False,0.14129110840436654,0.0,84.99999999994543,False,False,1.527214162582756,2026-02
2026-02-18 14:13:00+00:00,1771423980,4925.7,4926.19,4921.84,4921.85,381,381,20,0,0,4919.668099191787,4916.911574249558,4918.105120041912,58.89866323853798,2.2478362493253656,27.38122907915405,3.9000000000005457,,True,False,False,True,False,False,False,False,15,13,NY Open,2026-02-18,Wednesday,14,13,384.99999999994543,434.99999999994543,0.1126436781608835,0.002298850574763111,0.8850574712643534,224.78362493253655,1.9351943458092211,1.712758214106984,1.100361010830325,-250.0,-8.999999999923602,390.00000000005457,711.0000000000582,541.1579768915544,,374.48799580879495,4925.66,4909.55,52.999999999974534,-1228.9999999999964,False,True,False,False,False,True,1,4.0,-1,2.0,400,100,15,-1,-1,2.0,SHORT,-110.0,False,SHORT,250.0,8.999999999923602,-390.00000000005457,-711.0000000000582,-541.1579768915544,,-374.48799580879495,-3.9000000000005457,-390.00000000005457,False,True,False,0.1126436781608835,0.002298850574763111,52.999999999974534,False,False,1.712758214106984,2026-02
2026-02-19 14:32:00+00:00,1771511520,4992.34,4992.79,4989.26,4989.28,381,381,20,0,0,4988.399898778506,4987.000825236056,4991.840385366724,54.44105181212619,1.962112301894999,18.936842759089103,1.7599999999993088,,True,False,False,True,False,False,False,False,15,32,NY Open,2026-02-19,Thursday,14,32,306.00000000004,352.99999999997453,0.12747875354103416,0.005665722379469831,0.8668555240794961,196.2112301894999,1.7990815289168145,1.5595437616109262,1.3486725663716814,-315.99999999998545,1.9999999999527063,175.99999999993088,192.99999999993815,260.5919328814707,,-256.0385366724404,4992.75,4983.08,3.999999999996362,-618.0000000000291,False,True,False,False,False,True,-1,2.0,1,4.0,400,100,15,-1,1,4.0,SHORT,390.0,True,SHORT,315.99999999998545,-1.9999999999527063,-175.99999999993088,-192.99999999993815,-260.5919328814707,,256.0385366724404,-1.7599999999993088,-175.99999999993088,False,True,False,0.12747875354103416,0.005665722379469831,3.999999999996362,False,False,1.5595437616109262,2026-02
2026-02-19 18:58:00+00:00,1771527480,4991.54,4996.12,4990.35,4996.05,566,566,20,0,0,5000.447411729963,5002.690837101412,5000.35500160718,41.277851585064646,3.646676100044533,27.60635948959417,-3.9600000000000364,,False,True,True,False,False,False,False,False,19,58,NY Open,2026-02-19,Thursday,18,58,451.0000000000218,576.9999999999527,0.012131715771181058,0.2062391681108661,0.7816291161179528,364.6676100044533,1.5822628173445579,1.2367426873873286,1.1613829896378371,-351.0000000000218,-365.99999999998545,-396.00000000000364,-942.0000000000073,-340.2659226529977,,-430.5001607180202,5008.85,4991.48,-1273.0000000000473,112.99999999991996,False,False,False,False,False,False,-1,1.0,-1,2.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,-351.0000000000218,-365.99999999998545,-396.00000000000364,-942.0000000000073,-340.2659226529977,,-430.5001607180202,-3.9600000000000364,-396.00000000000364,False,False,False,0.2062391681108661,0.012131715771181058,112.99999999991996,False,False,1.2367426873873286,2026-02
2026-02-20 16:30:00+00:00,1771605000,5038.19,5045.62,5037.67,5045.57,716,716,20,0,0,5041.730098355902,5039.708405759716,5031.527270615425,59.485593063240294,2.7406138827974185,13.438178524992907,2.2399999999997817,,False,True,True,False,False,False,True,False,17,30,NY Open,2026-02-20,Friday,16,30,738.0000000000109,794.9999999999818,0.006289308176123653,0.06540880503138854,0.9283018867924878,274.06138827974183,2.9008099425830243,2.6928273429262295,1.7788819875776398,519.9999999999818,567.0000000000073,223.99999999997817,207.99999999999272,-82.4336025073535,,1404.2729384575068,5047.4,5037.96,-177.99999999997453,28.999999999996362,False,False,False,False,False,True,-1,1.0,-1,1.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,519.9999999999818,567.0000000000073,223.99999999997817,207.99999999999272,-82.4336025073535,,1404.2729384575068,2.2399999999997817,223.99999999997817,False,False,False,0.06540880503138854,0.006289308176123653,28.999999999996362,True,False,2.6928273429262295,2026-02
2026-02-23 14:29:00+00:00,1771856940,5145.62,5150.56,5145.52,5150.51,371,371,20,0,0,5149.609911031098,5150.593324079437,5150.2026039035345,51.94611129919892,1.9467786942298964,12.627976968765921,0.4000000000005457,,False,True,True,False,False,False,False,False,15,29,NY Open,2026-02-23,Monday,14,29,489.00000000003274,503.99999999999636,0.009920634920671084,0.01984126984116171,0.9702380952381672,194.67786942298963,2.5888921092767965,2.5118417488818396,1.2205954926797171,107.99999999999272,107.00000000006185,40.00000000005457,111.00000000005821,-81.19169221154152,,30.739609646570898,5152.31,5145.62,-175.0,9.99999999994543,True,False,False,False,False,True,1,9.0,-1,1.0,400,100,15,1,1,9.0,LONG,390.0,True,LONG,107.99999999999272,107.00000000006185,40.00000000005457,111.00000000005821,-81.19169221154152,,30.739609646570898,0.4000000000005457,40.00000000005457,False,True,False,0.01984126984116171,0.009920634920671084,9.99999999994543,False,False,2.5118417488818396,2026-02
