trades,wins,losses,win_rate,pf,expectancy,total,max_dd,filter
9,5,4,0.5555555555555556,4.431818181818182,167.77777777777777,1510.0,220.0,atr_points <= 247
9,5,4,0.5555555555555556,4.431818181818182,167.77777777777777,1510.0,220.0,range_points <= 468
9,5,4,0.5555555555555556,4.431818181818182,167.77777777777777,1510.0,220.0,body_points <= 372
9,5,4,0.5555555555555556,4.431818181818182,167.77777777777777,1510.0,330.0,dir_prev10_ret_points > -90.1
13,7,6,0.5384615384615384,4.136363636363637,159.23076923076923,2070.0,330.0,dir_prev10_ret_points > -322
14,7,7,0.5,3.5454545454545454,140.0,1960.0,220.0,atr_points <= 279
14,7,7,0.5,3.5454545454545454,140.0,1960.0,330.0,range_points <= 562
13,6,7,0.46153846153846156,3.038961038961039,120.76923076923077,1570.0,330.0,body_ratio > 0.802
18,8,10,0.4444444444444444,2.8363636363636364,112.22222222222223,2020.0,440.0,range_points <= 799
18,8,10,0.4444444444444444,2.8363636363636364,112.22222222222223,2020.0,440.0,body_points <= 603
18,8,10,0.4444444444444444,2.8363636363636364,112.22222222222223,2020.0,440.0,dir_prev10_ret_points > -408
9,4,5,0.4444444444444444,2.8363636363636364,112.22222222222223,1010.0,220.0,body_ratio > 0.857
9,4,5,0.4444444444444444,2.8363636363636364,112.22222222222223,1010.0,220.0,opposite_wick_ratio <= 0.00923
9,4,5,0.4444444444444444,2.8363636363636364,112.22222222222223,1010.0,220.0,dir_sweep_points <= 35.2
9,4,5,0.4444444444444444,2.8363636363636364,112.22222222222223,1010.0,550.0,vol_rel20 <= 1.07
9,4,5,0.4444444444444444,2.8363636363636364,112.22222222222223,1010.0,330.0,dir_ema_slow_dist_points > 211
14,6,8,0.42857142857142855,2.659090909090909,104.28571428571429,1460.0,440.0,body_points <= 451
14,6,8,0.42857142857142855,2.659090909090909,104.28571428571429,1460.0,220.0,opposite_wick_ratio <= 0.0379
20,8,12,0.4,2.3636363636363638,90.0,1800.0,440.0,atr_points <= 437
20,8,12,0.4,2.3636363636363638,90.0,1800.0,440.0,range_points <= 895
20,8,12,0.4,2.3636363636363638,90.0,1800.0,440.0,body_points <= 722
20,8,12,0.4,2.3636363636363638,90.0,1800.0,550.0,opposite_wick_ratio <= 0.091
20,8,12,0.4,2.3636363636363638,90.0,1800.0,550.0,dir_sweep_points <= 103
20,8,12,0.4,2.3636363636363638,90.0,1800.0,660.0,dir_prev5_ret_points > -357
20,8,12,0.4,2.3636363636363638,90.0,1800.0,550.0,dir_prev10_ret_points > -543
15,6,9,0.4,2.3636363636363638,90.0,1350.0,440.0,dir_sweep_points <= 53
18,7,11,0.3888888888888889,2.256198347107438,84.44444444444444,1520.0,440.0,atr_points <= 372
18,7,11,0.3888888888888889,2.256198347107438,84.44444444444444,1520.0,770.0,range_atr <= 2.28
18,7,11,0.3888888888888889,2.256198347107438,84.44444444444444,1520.0,440.0,opposite_wick_ratio <= 0.0639
18,7,11,0.3888888888888889,2.256198347107438,84.44444444444444,1520.0,550.0,dir_sweep_points <= 76.6
18,7,11,0.3888888888888889,2.256198347107438,84.44444444444444,1520.0,660.0,dir_prev5_ret_points > -299
13,5,8,0.38461538461538464,2.215909090909091,82.3076923076923,1070.0,440.0,dir_prev5_ret_points > -129
13,5,8,0.38461538461538464,2.215909090909091,82.3076923076923,1070.0,330.0,dir_ema_slow_dist_points > -374
14,5,9,0.35714285714285715,1.9696969696969697,68.57142857142857,960.0,660.0,range_atr <= 1.95
14,5,9,0.35714285714285715,1.9696969696969697,68.57142857142857,960.0,440.0,dir_wick_ratio <= 0.129
14,5,9,0.35714285714285715,1.9696969696969697,68.57142857142857,960.0,770.0,vol_rel20 <= 1.16
20,7,13,0.35,1.9090909090909092,65.0,1300.0,550.0,range_atr > 1.64
20,7,13,0.35,1.9090909090909092,65.0,1300.0,770.0,range_atr <= 2.34
20,7,13,0.35,1.9090909090909092,65.0,1300.0,880.0,body_atr > 1.33
20,7,13,0.35,1.9090909090909092,65.0,1300.0,770.0,body_ratio > 0.628
20,7,13,0.35,1.9090909090909092,65.0,1300.0,660.0,dir_wick_ratio > 0.0946
20,7,13,0.35,1.9090909090909092,65.0,1300.0,440.0,dir_ema_slow_dist_points > -1.13e+03
18,6,12,0.3333333333333333,1.7727272727272727,56.666666666666664,1020.0,660.0,rsi > 48.2
18,6,12,0.3333333333333333,1.7727272727272727,56.666666666666664,1020.0,770.0,body_atr > 1.34
18,6,12,0.3333333333333333,1.7727272727272727,56.666666666666664,1020.0,660.0,body_ratio > 0.727
18,6,12,0.3333333333333333,1.7727272727272727,56.666666666666664,1020.0,660.0,dir_wick_ratio <= 0.197
18,6,12,0.3333333333333333,1.7727272727272727,56.666666666666664,1020.0,660.0,vol_rel20 <= 1.28
18,6,12,0.3333333333333333,1.7727272727272727,56.666666666666664,1020.0,440.0,dir_ema_slow_dist_points > -816
12,4,8,0.3333333333333333,1.7727272727272727,56.666666666666664,680.0,550.0,side == SHORT
9,3,6,0.3333333333333333,1.7727272727272727,56.666666666666664,510.0,440.0,rsi > 56.5
9,3,6,0.3333333333333333,1.7727272727272727,56.666666666666664,510.0,550.0,adx <= 20
9,3,6,0.3333333333333333,1.7727272727272727,56.666666666666664,510.0,550.0,adx > 27.8
9,3,6,0.3333333333333333,1.7727272727272727,56.666666666666664,510.0,550.0,range_atr <= 1.76
