date,count,sum
2026-02-12,1,390.0
2026-02-16,2,780.0
2026-02-17,2,-220.0
2026-02-18,1,-110.0
2026-02-19,2,280.0
2026-02-20,1,-110.0
2026-02-23,1,390.0
2026-02-24,1,-110.0
2026-02-26,2,-220.0
2026-03-02,1,-110.0
2026-03-06,3,-330.0
2026-05-01,1,-110.0
2026-05-05,1,-110.0
2026-05-06,1,390.0
2026-05-07,1,-110.0
2026-05-08,1,390.0
2026-05-14,1,390.0
2026-05-18,1,-110.0
2026-05-20,2,-220.0
2026-05-22,1,-110.0
